course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
JAVA PROGRAMMING LANGUAGE,https://www.itvedant.com/full-stack-developer?utm_source=Google&utm_medium=RSA_Offline&utm_campaign=FSD_Java_Remarketing_AllBranch&gad_source=1&gclid=CjwKCAjwuJ2xBhA3EiwAMVjkVAUPEa7PvECgFrAJAxQu1HX3DBrFRbwqhU6Oiq5MNH-SiPseRV-Y8BoCzfgQAvD_BwE,TRUE,42000,322,288,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2022-03-22,2022,3,22
JAVA PROGRAMMING LANGUAGE,https://www.digital-lync.com/java-training-in-hyderabad.html?gad_source=1&gclid=CjwKCAjwuJ2xBhA3EiwAMVjkVAdAxpoVg8DOkw_sRiMdctyjwuvL-jHiPch085ngtclQIQun2ySCQBoCHLMQAvD_BwE,TRUE,42000,200,235,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2022-03-08,2022,3,8
JAVA PROGRAMMING LANGUAGE,https://www.simplilearn.com/java-full-stack-developer-certification?utm_source=google&utm_medium=cpc&utm_term=java%20programming%20course&utm_content=20620123917-153026066814-676261711129&utm_device=m&utm_campaign=Search-TechCluster-SD-NPG-Masters-FSJD-IN-Main-AllDevice-adgroup-FSD-NPG-Masters&gad_source=1&gclid=CjwKCAjwuJ2xBhA3EiwAMVjkVDgLyKxnTmILm_W6Uz9Sk_6qxK2BTd4EQzJYO-UpuumbBvSKyQDtLhoCkoAQAvD_BwE,TRUE,42000,322,333,15,ALL LEVEL,7 months                ,PROGRAMMING LANGUAGE,2022-02-05,2022,2,5
JAVA PROGRAMMING LANGUAGE,https://www.coursera.org/courses?query=java,TRUE,42000,190,332,15,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2023-03-04,2023,3,4
JAVA PROGRAMMING LANGUAGE,https://www.codecademy.com/learn/learn-java,TRUE,42000,233,332,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2020-03-05,2020,3,5
JAVA PROGRAMMING LANGUAGE,https://www.edx.org/learn/java,TRUE,42000,322,222,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2023-03-07,2023,3,7
JAVA PROGRAMMING LANGUAGE,https://www.w3schools.com/java/,TRUE,42000,200,234,15,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2022-05-07,2022,5,7
JAVA PROGRAMMING LANGUAGE,https://www.mygreatlearning.com/academy/learn-for-free/courses/java-programming,TRUE,42000,222,124,15,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2016-01-08,2016,1,8
JAVA PROGRAMMING LANGUAGE,https://www.simplilearn.com/mobile-and-software-development/java-javaee-soa-development-training,TRUE,42000,344,432,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2015-02-05,2015,2,5
JAVA PROGRAMMING LANGUAGE,https://www.simplilearn.com/mobile-and-software-development/java-javaee-soa-development-training,TRUE,42000,200,333,20,ALL LEVEL,6 months,PROGRAMMING LANGUAGE,2012-05-01,2012,5,1
