course_title,url,is_paid,price,num_subscibers,num_reviews,num_lectures,level,content_duration,subject,published_date,year,month,day
"JAVASCRIPT ,JQUERY AND JSON",https://www.coursera.org/learn/javascript-jquery-json,FALSE,0,98616,799,4,INTERMEDIATE,26:00:00,JQUERY,2018-09-12,2018,9,12
ANIMATION WITH JAVASCRIPT AND JQUERY,https://www.coursera.org/learn/animation-javascript-jquery,FALSE,0,8925,115,4,BEGINNER,13:00:00,JQUERY,2017-07-19,2017,7,19
INTRODUCTION TO JQUERY,https://www.coursera.org/projects/dom-updates-with-javascript-intro-to-jquery,FALSE,0,9632,67,3,INTERMEDIATE,02:00:00,JQUERY,2019-05-11,2019,5,11
COMPLETE JQUERY COURSE FROM BEGINNER TO ADVANCED,https://www.udemy.com/course/jquery-complete-jquery-course-from-beginner-to-advanced/?couponCode=KEEPLEARNING,TRUE,799,15715,43,19,INTERMEDIATE,03:00:00,JQUERY,2023-11-23,2023,11,23
JQUERY COURSE BEGINNER TO PROFESSIONAL JQUERY FOR BEGINNERS,https://www.udemy.com/course/jquery-course/?couponCode=KEEPLEARNING,TRUE,2699,5277,274,195,INTERMEDIATE,15:00:00,JQUERY,2021-11-18,2021,11,18
COMPLETE JAVASCRIPT &JQUERY COURSE WITH BONUS VUE JS INTRO,https://www.udemy.com/course/learn-javascript-from-beginner-to-advanced/?couponCode=KEEPLEARNING,TRUE,2699,`78784,2649,98,INTERMEDIATE,17:17:00,JQUERY,2021-07-19,2021,7,19
LEARN JQUERY AN IN DEPTH COURSE FOR BEGINNERS,https://www.udemy.com/course/jquery/?couponCode=KEEPLEARNING,TRUE,1999,7254,167,62,INTERMEDIATE,05:00:00,JQUERY,2017-01-18,2017,1,18
JAVASCRIPT &JQUERY CERTIFICATION COURSE FOR BEGINNERS,https://www.udemy.com/course/javascript-jquery-certification-course-for-beginners/?couponCode=KEEPLEARNING,TRUE,1499,201355,1919,81,INTERMEDIATE,02:00:00,JQUERY,2019-06-18,2019,6,18
FREE JQUERY COURSE FOR BEGINNERS,https://www.udemy.com/course/free-jquery-beginners/,FALSE,0,3656,126,34,INTERMEDIATE,02:00:00,JQUERY,2017-09-11,2017,9,11
LEARN JQUERY FOR BEGINNERS,https://www.udemy.com/course/learn-jquery-for-beginners/?couponCode=KEEPLEARNING,TRUE,1499,165144,994,40,INTERMEDIATE,01:00:00,JQUERY,2016-11-29,2016,11,29
MASTERING AVASCRIPT AND JQUERY COURSE BEGINNERS TO ADVANCED,https://www.udemy.com/course/mastering-javascript-and-jquery-course-beginners-to-advanced/?couponCode=KEEPLEARNING,TRUE,1999,8131,15,27,INTERMEDIATE,04:00:00,JQUERY,2023-11-16,2023,11,16
JQUERY FOR ABSOLUTE BEGINNERS FROM BEGINNING TO ADVANCED,https://www.udemy.com/course/learn-jquery-from-beginning-to-advanced/?couponCode=KEEPLEARNING,TRUE,799,180911,1458,32,INTERMEDIATE,03:00:00,JQUERY,2020-11-29,2020,11,29
LEARN : C INTRODUCTION,https://www.codecademy.com/learn/learn-c-introduction,FALSE,0,2035,1672,1,BEGINNER,01:00:00,PROGRAMMING,2023-03-22,2023,3,22
LEARN C++,https://www.codecademy.com/learn/learn-c-plus-plus,FALSE,0,111345,100954,1,BEGINNER,10:00:00,PROGRAMMING,2022-08-15,2022,8,15
LEARN C#,https://www.codecademy.com/learn/learn-c-sharp,FALSE,0,39820,31026,1,BEGINNER,20:00:00,PROGRAMMING,2021-02-14,2021,2,14
LEARN C++ : INTRODUCTION,https://www.codecademy.com/learn/learn-c-plus-plus-introduction,FALSE,0,7629,6729,1,BEGINNER,04:00:00,PROGRAMMING,2021-09-14,2021,9,14
LEARN C# :INTRODUCTION,https://www.codecademy.com/learn/learn-c-sharp-introduction,FALSE,0,2091,1780,1,BEGINNER,05:00:00,PROGRAMMING,2022-05-23,2022,5,23
C++ FOR PROGRAMMERS,https://www.codecademy.com/learn/c-plus-plus-for-programmers,FALSE,0,3941,3298,1,BEGINNER,03:00:00,PROGRAMMING,2021-01-19,2021,1,19
LEARN ADVANCED JAVA,https://www.codecademy.com/learn/learn-advanced-java,FALSE,0,12049,10038,1,BEGINNER,02:00:00,PROGRAMMING,2023-05-29,2023,5,29
LEARN C: POINTRERS AND MEMORY,https://www.codecademy.com/learn/learn-c-pointers-and-memory,FALSE,0,2019,1863,1,BEGINNER,01:00:00,PROGRAMMING,2021-04-24,2021,4,24
LEARN C: VARIABLES AND POINTERS,https://www.codecademy.com/learn/learn-c-variables-and-operators,FALSE,0,3029,2509,1,BEGINNER,02:00:00,PROGRAMMING,2022-09-20,2022,9,20
LEARN C: CONDITIONALS AND LOOPS,https://www.codecademy.com/learn/learn-c-conditionals-and-loops,FALSE,0,559,350,1,BEGINNER,02:00:00,PROGRAMMING,2023-06-22,2023,6,22
LEARN C: FUNCTIONS AND STRUCTURES,https://www.codecademy.com/learn/learn-c-functions-and-structures,FALSE,0,1029,993,1,BEGINNER,03:00:00,PROGRAMMING,2021-05-13,2021,5,13
LEARN C: ARRAYS AND STRINGS,https://www.codecademy.com/learn/learn-c-arrays-and-strings,FALSE,0,349,307,1,BEGINNER,02:00:00,PROGRAMMING,2022-02-19,2022,2,19
INTRODUCTION TO C ,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,4245,4220,1,BEGINNER,02:00:00,PROGRAMMING,2021-04-24,2021,4,24
C PROGRAMMING – INTRODUCTION,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,31580,30198,1,BEGINNER,03:00:00,PROGRAMMING,2021-04-19,2021,4,19
C PROGRAMMING – LOGIC AND STATEMENTS,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,4125,3982,1,BEGINNER,02:30:00,PROGRAMMING,2022-06-17,2022,6,17
DIPLOMA IN C PROGRAMMING,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,69336,64593,1,BEGINNER,13:00:00,PROGRAMMING,2021-06-22,2021,6,22
DIPLOMA IN C PROGRAM AND ASSEMBLEY LANGUAGE,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,6686,6122,1,BEGINNER,08:00:00,PROGRAMMING,2023-08-13,2023,8,13
"C PROGRAMMING – NUMBERS,VARIABLES AND ARRAYS",https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,4735,4209,1,BEGINNER,03:00:00,PROGRAMMING,2023-03-13,2023,3,13
"C PROGRAMMING – POINTERS,CONSTANTS AND STRINGS",https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,3228,3108,1,BEGINNER,02:30:00,PROGRAMMING,2023-07-17,2023,7,17
INTRODUCTION TO C++ PROGRAMMING LANGUAGE,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,63387,60981,1,BEGINNER,03:00:00,PROGRAMMING,2023-05-15,2023,5,15
PROGRAMMMING USING C++ PROGRAMMING LAN,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,2538,2289,1,BEGINNER,05:00:00,PROGRAMMING,2021-04-20,2021,4,20
DIPLOMA IN PROGRAMMING C#,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,3554,3234,1,BEGINNER,09:00:00,PROGRAMMING,2023-08-19,2023,8,19
DIPLOMA IN C++ FUNDAMENTALS,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,7164,6839,1,BEGINNER,08:00:00,PROGRAMMING,2022-02-22,2022,2,22
DIPLOMA IN C#: FUNDSMENTALS,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,4869,4224,1,BEGINNER,03:00:00,PROGRAMMING,2022-06-13,2022,6,13
C++ PROGRAMMING USING ADVANCED FUNDAMENTALS,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,16811,13491,1,BEGINNER,02:00:00,PROGRAMMING,2022-04-19,2022,4,19
DIPLOMA IN PROGRAMMING USING C#,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,3001,2803,1,BEGINNER,04:00:00,PROGRAMMING,2022-11-18,2022,11,18
INTRODUCTION TO C++ PROGRAMMING ,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,9249,9044,1,BEGINNER,03:00:00,PROGRAMMING,2023-12-22,2023,12,22
DIPLOMA IN PROGRAMMING C#: INTERMEDIATE,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,3224,3021,1,INTERMEDIATE,07:00:00,PROGRAMMING,2023-05-15,2023,5,15
INTRODUCTION TO PROGRAMMING THROUGH C#,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,2677,2234,1,BEGINNER,05:00:00,PROGRAMMING,2023-08-17,2023,8,17
ADVANCED DIPLOMA IN PROGRAMMING THROUGH C#,https://alison.com/courses?tag=c-programming&language=en&query=C%20Language#google_vignette,FALSE,0,3863,3276,1,BEGINNER,25:00:00,PROGRAMMING,2022-06-13,2022,6,13
C++ FOR C PROGRAMMERS,https://www.classcentral.com/course/c-plus-plus-a-671,FALSE,0,13,9,1,BEGINNER,13:00:00,PROGRAMMING,2022-02-19,2022,2,19
C PROGRAMMING LANGUAGE FOUNDATIONS ,https://www.classcentral.com/course/c-programming-dartmouth-college-c-programming-lan-11535,FALSE,0,8,5,1,BEGINNER,05:00:00,PROGRAMMING,2023-04-28,2023,4,28
C FOR EVERYONE : PROGRAMMING FUNDAMENTALS,https://www.classcentral.com/course/c-for-everyone-16909,FALSE,0,5,2,1,BEGINNER,15:12:00,PROGRAMMING,2023-06-24,2023,6,24
INTRODUCTION TO C# PROGRAMMING,https://www.classcentral.com/course/introduction-programming-unity-10136,FALSE,0,2347,2301,1,BEGINNER,12:30:00,PROGRAMMING,2023-07-17,2023,7,17
C PROGRAMMING : POINTERS AND MEMORY,https://www.classcentral.com/course/c-programming-dartmouth-college-c-programming-poi-11533,FALSE,0,8,3,1,BEGINNER,04:00:00,PROGRAMMING,2021-10-19,2021,10,19
OBJECT ORIENTED PROGRAMMING USING C++,https://www.classcentral.com/course/object-oriented-programming-ibm-object-oriented-i-59140,FALSE,0,0,0,1,BEGINNER,05:00:00,PROGRAMMING,2022-03-29,2022,3,29
C++ OBJECT BASICS,https://www.classcentral.com/course/cpp-object-basics-39315,FALSE,0,148,0,1,BEGINNER,08:52:00,PROGRAMMING,2023-01-20,2023,1,20
C++ BASIC STRUCTURES,https://www.classcentral.com/course/cpp-basic-structures-vectors-pointers-strings-and-39369,FALSE,0,198,182,1,BEGINNER,09:50:00,PROGRAMMING,2022-05-16,2022,5,16
C++ BASICS,https://www.classcentral.com/course/codio-cpp-basics-39316,FALSE,0,801,719,1,BEGINNER,08:49:00,PROGRAMMING,2023-05-30,2023,5,30
C FOR EVERYONE  ,https://www.classcentral.com/course/c-structured-programming-17287,FALSE,0,725,700,1,BEGINNER,09:42:00,PROGRAMMING,2021-08-22,2021,8,22
C# FOR .NET DEVELOPERS,https://www.classcentral.com/course/c-sharp-for-dot-net-274980,FALSE,0,157,117,1,BEGINNER,17:17:00,PROGRAMMING,2023-03-18,2023,3,18
INTRODUCTION TO OOP IN C++,https://www.classcentral.com/course/cplusplus-crypto-i-126046,FALSE,0,83,62,1,BEGINNER,10:54:00,PROGRAMMING,2023-09-18,2023,9,18
FUNDAMENTALS OF C++,https://www.classcentral.com/course/c-programming-ibm-fundamentals-of-c-59141,FALSE,0,57,42,1,BEGINNER,06:00:00,PROGRAMMING,2021-02-17,2021,2,17
LEARN JAVA,https://www.codecademy.com/learn/learn-java,FALSE,0,1649230,1449802,1,BEGINNER,16:00:00,PROGRAMMING,2023-08-20,2023,8,20
INTRO TO JAVA,https://www.codecademy.com/learn/java-introduction,FALSE,0,29699,24804,1,BEGINNER,06:00:00,PROGRAMMING,2023-03-13,2023,3,13
LEARN INTERMEDIATE JAVA,https://www.codecademy.com/learn/learn-intermediate-java,FALSE,0,13409,11202,1,INTERMEDIATE,10:00:00,PROGRAMMING,2022-09-30,2022,9,30
LEARN JAVA: OOP,https://www.codecademy.com/learn/learn-java-object-oriented-programming,FALSE,0,7892,7009,2,BEGINNER,03:00:00,PROGRAMMING,2022-01-19,2022,1,19
LEARN JAVA : LOOPS AND ARRAYS,https://www.codecademy.com/learn/learn-java-loops-and-arrays,FALSE,0,82022,80139,1,BEGINNER,05:00:00,PROGRAMMING,2023-06-17,2023,6,17
SQL,https://www.codecademy.com/learn/learn-sql,FALSE,0,112290,100929,1,BEGINNER,05:00:00,DATABASE,2022-05-23,2022,5,23
INTRO TO SQL,https://www.codecademy.com/learn/intro-to-sql,FALSE,0,15470,12380,1,BEGINNER,02:00:00,DATABASE,2021-09-13,2021,9,13
LEARN SQL,https://www.codecademy.com/learn/learn-sql-multiple-tables,FALSE,0,5837,5423,1,BEGINNER,02:00:00,DATABASE,2022-03-19,2022,3,19
LEARN SQL: AGGREGATE-FUNCTIONS,https://www.codecademy.com/learn/learn-sql-aggregate-functions,FALSE,0,4723,4290,1,BEGINNER,01:00:00,DATABASE,2023-03-22,2023,3,22
LEARN NODE-SQLITE,https://www.codecademy.com/learn/learn-node-sqlite,FALSE,0,11938,10832,1,INTERMEDIATE,02:00:00,DATABASE,2022-07-27,2022,7,27
INTRODUCTION TO SQL,https://www.classcentral.com/course/intro-sql-9567,FALSE,0,5298,5190,1,BEGINNER,15:58:03,DATABASE,2023-04-30,2023,4,30
SQL FOR DATABASE,https://www.classcentral.com/course/intro-sql-9567,FALSE,0,5,2,1,BEGINNER,13:30:00,DATABASE,2022-01-21,2022,1,21
BASIC SQL IN POSTGRE-SQL,https://www.classcentral.com/course/database-design-postgresql-37623,FALSE,0,872,792,1,BEGINNER,13:34:00,DATABASE,2021-08-24,2021,8,24
USING DATABASES WITH PYTHON,https://www.classcentral.com/course/python-databases-4272,FALSE,0,4789,4293,1,BEGINNER,13:57:00,DATABASE,2022-05-18,2022,5,18
INTRODUCTION TO DATABASES,https://www.classcentral.com/course/db-303,FALSE,0,30,21,1,BEGINNER,03:15:00,DATABASE,2021-09-20,2021,9,20
ORACLE SQL BASICS,https://www.classcentral.com/course/oracle-sql-basics-55077,FALSE,0,221,162,1,BEGINNER,02:15:00,DATABASE,2023-02-22,2023,2,22
SQL USING SAS,https://www.classcentral.com/course/sas-sql-20318,FALSE,0,253,209,1,BEGINNER,02:28:00,DATABASE,2022-09-29,2022,9,29
REALATIONAL DATABASES AND SQL,https://www.classcentral.com/course/relational-databases-stanford-university-database-19468,FALSE,0,14,9,1,BEGINNER,09:00:00,DATABASE,2022-11-15,2022,11,15
ORACLE SQL PROFICIENCY,https://www.classcentral.com/course/oracle-sql-proficiency-55081,FALSE,0,106,81,1,BEGINNER,06:18:00,DATABASE,2023-01-20,2023,1,20
SQL FOR DATA SCIENCE WITH R,https://www.classcentral.com/course/sql-data-science-r-40290,FALSE,0,123,98,1,BEGINNER,03:49:00,DATABASE,2023-05-25,2023,5,25
INTRODUCTION TO SQL,https://www.classcentral.com/course/sql-davidson-college-introduction-to-sql-85800,FALSE,0,9,9,1,BEGINNER,03:49:01,DATABASE,2021-03-19,2021,3,19
ADVANCED TOPICS IN SQL,https://www.classcentral.com/course/sql-stanford-university-databases-advanced-topics-20361,FALSE,0,5,5,1,ADVANCED,10:00:00,DATABASE,2021-07-24,2021,7,24
SQL FOR DATA SCIENCE  ,https://www.classcentral.com/course/data-science-ibm-sql-for-data-science-17900,FALSE,0,27,22,1,BEGINNER,04:00:00,DATABASE,2020-05-17,2020,5,17
JAVA BASICS,https://www.classcentral.com/course/udacity-java-programming-basics-6686,FALSE,0,16,12,1,BEGINNER,12:00:00,PROGRAMMING,2022-04-27,2022,4,27
JAVA TUTORIALS FOR COMPLETE BEGINNERS,https://www.classcentral.com/course/udemy-java-tutorial-27747,FALSE,0,99730,90345,1,BEGINNER,16:08:00,PROGRAMMING,2021-12-15,2021,12,15
DISTURBUTED PROGRAMMING JAVA,https://www.classcentral.com/course/distributed-programming-in-java-8906,FALSE,0,485,423,1,BEGINNER,17:57:00,PROGRAMMING,2023-09-18,2023,9,18
ADVANCED JAVA TOPICS,https://www.classcentral.com/course/udemy-java-reflection-master-class-105525,FALSE,0,504,479,1,BEGINNER,05:00:00,PROGRAMMING,2023-03-19,2023,3,19
INTRODUCTION TO JAVA AND OOP,https://www.classcentral.com/course/java-object-oriented-programming-22535,FALSE,0,254,212,1,BEGINNER,19:40:00,PROGRAMMING,2023-05-16,2023,5,16
ADVANCED DATA STRUCTURES IN JAVA,https://www.classcentral.com/course/advanced-data-structures-4346,FALSE,0,1235,1021,1,BEGINNER,28:20:00,PROGRAMMING,2022-07-15,2022,7,15
JAVA PROGRAMMING,https://www.classcentral.com/course/mooc-fi-java-programming-89476,FALSE,0,9,9,1,BEGINNER,10:00:00,PROGRAMMING,2022-09-22,2022,9,22
INTRODUCTION TO OOP WITH JAVA,https://www.classcentral.com/course/object-oriented-programming-with-java-32113,FALSE,0,434,390,1,BEGINNER,17:27:00,PROGRAMMING,2023-11-14,2023,11,14
INTRODUCTION TO JAVA  ,https://www.classcentral.com/course/java-introduction-32112,FALSE,0,1781,1304,1,BEGINNER,11:59:00,PROGRAMMING,2022-12-15,2022,12,15
JAVA CLASS LIBRARY,https://www.classcentral.com/course/java-class-library-32111,FALSE,0,133,103,1,BEGINNER,29:55:00,PROGRAMMING,2023-02-23,2023,2,23
FUNDAMENTALS OF JAVA PROGRAMMING,https://www.classcentral.com/course/fundamentals-of-java-programming-202548,FALSE,0,132,100,1,BEGINNER,17:50:00,PROGRAMMING,2021-07-14,2021,7,14
OOP HIERARCHIES IN JAVA,https://www.classcentral.com/course/object-oriented-hierarchies-java-32114,FALSE,0,160,112,1,BEGINNER,20:29:00,PROGRAMMING,2022-05-18,2022,5,18
COMPLETE JAVA FOR SELENIUM – APPIUM,https://www.classcentral.com/course/udemy-complete-java-for-selenium-appium-26817,FALSE,0,495,421,1,BEGINNER,03:33:00,PROGRAMMING,2023-04-24,2023,4,24
JAVA SOCKET PROGRAMMING,https://www.classcentral.com/course/udemy-java-socket-programming-by-sagar-33758,FALSE,0,556,500,1,BEGINNER,01:48:00,PROGRAMMING,2023-03-19,2023,3,19
MANGODB JAVA PROGRAMMING,https://www.classcentral.com/course/mongodb-university-mongodb-for-java-developers-599,FALSE,0,19,15,1,BEGINNER,08:00:00,PROGRAMMING,2023-08-15,2023,8,15
DISTURBUTED PROGRAMMING IN JAVA,https://www.classcentral.com/course/distributed-programming-in-java-8906,FALSE,0,485,432,1,BEGINNER,17:57:00,PROGRAMMING,2021-10-27,2021,10,27
CONCURRENT PROGRAMMING IN JAVA,https://www.classcentral.com/course/concurrent-programming-in-java-8910,FALSE,0,649,589,1,BEGINNER,18:57:00,PROGRAMMING,2023-05-19,2023,5,19
JAVA FOR ANDRIOD,https://www.classcentral.com/course/java4android-5446,FALSE,0,3033,2907,1,BEGINNER,14:47:00,PROGRAMMING,2022-02-19,2022,2,19
PARALLEL PROGRAMMING IN JAVA,https://www.classcentral.com/course/parallel-programming-in-java-8909,FALSE,0,1192,1020,1,BEGINNER,19:25:00,PROGRAMMING,2023-09-22,2023,9,22
THE JAVA LANGUAGE,https://www.classcentral.com/course/java-as-a-second-language-the-java-language-22722,FALSE,0,57,50,1,BEGINNER,07:28:00,PROGRAMMING,2023-12-29,2023,12,29
INTRODUCTION TO JAVA SECOND LANGUAGE,https://www.classcentral.com/course/intro-java-second-language-22723,FALSE,0,73,67,1,BEGINNER,07:17:00,PROGRAMMING,2022-01-27,2022,1,27
LEARN INTERMEDIATE JAVA:,https://www.classcentral.com/course/codecademy-learn-intermediate-java-junit-testing-270966,FALSE,0,80,80,1,BEGINNER,01:00:00,PROGRAMMING,2021-06-30,2021,6,30
MONGODB FOR JAVA DEVELOPERS,https://www.classcentral.com/course/mongodb-university-mongodb-for-java-developers-599,FALSE,0,19,11,1,BEGINNER,08:00:00,PROGRAMMING,2021-05-17,2021,5,17
INTRODUCTION TO JAVA PROGRAMMING,https://www.classcentral.com/course/data-structures-universidad-carlos-iii-de-madrid--7454,FALSE,0,13,8,1,BEGINNER,07:00:00,PROGRAMMING,2022-11-22,2022,11,22
FRONTEND FOR JAVA FULL STACK DEVELOPMENT,https://www.classcentral.com/course/frontend-development-for-java-full-stack-202473,FALSE,0,33,20,1,BEGINNER,24:07:00,PROGRAMMING,2021-09-19,2021,9,19
INTRODUCTION TO JAVA FOR SECOND LANGUAGE,https://www.classcentral.com/course/intro-java-second-language-22723,FALSE,0,73,65,1,BEGINNER,07:17:00,PROGRAMMING,2022-04-29,2022,4,29
LEARN INTERMEDIATE JAVA ,https://www.classcentral.com/course/codecademy-learn-intermediate-java-159744,FALSE,0,417,392,1,INTERMEDIATE,10:00:00,PROGRAMMING,2021-05-17,2021,5,17
LEARN INTERMEDIATE JAVA: INPUT AND OUTPUT,https://www.classcentral.com/course/codecademy-learn-intermediate-java-input-and-outp-270973,FALSE,0,12,7,1,INTERMEDIATE,01:00:00,PROGRAMMING,2021-02-27,2021,2,27
LEARN INTERMEDIATE JAVA: NESTED CLASSES,https://www.classcentral.com/course/codecademy-learn-intermediate-java-nested-classes-270979,FALSE,0,6,2,1,INTERMEDIATE,01:00:00,PROGRAMMING,2022-10-15,2022,10,15
LEARN INTERMEDIATE JAVA: SERIALIZATION ,https://www.classcentral.com/course/codecademy-learn-intermediate-java-serialization-270981,FALSE,0,15,8,1,INTERMEDIATE,02:00:00,PROGRAMMING,2022-01-27,2022,1,27
LEARN INTERMEDIATE JAVA: GENERICS,https://www.classcentral.com/course/codecademy-learn-intermediate-java-generics-and-c-271000,FALSE,0,15,9,1,INTERMEDIATE,03:00:00,PROGRAMMING,2021-03-23,2021,3,23
LEARN INTERMEDIATE JAVA:REGULAR EXPRESSIONS,https://www.classcentral.com/course/codecademy-learn-intermediate-java-regular-expres-271005,FALSE,0,6,3,1,INTERMEDIATE,01:00:00,PROGRAMMING,2023-07-25,2023,7,25
LEARN INTERMEDIATE JAVA:JUNIT TESTING,https://www.classcentral.com/course/codecademy-learn-intermediate-java-junit-testing-270966,FALSE,0,80,68,1,INTERMEDIATE,01:00:00,PROGRAMMING,2021-09-15,2021,9,15
LEARN INTERMEDIATE JAVA: THREADING,https://www.classcentral.com/course/codecademy-learn-intermediate-java-threading-270995,FALSE,0,13,9,1,INTERMEDIATE,01:00:00,PROGRAMMING,2022-02-18,2022,2,18
AI AND BIG DATA,https://www.classcentral.com/course/ai-and-big-data-global-health-improvement-17981,FALSE,0,46,39,1,BEGINNER,18:00:00,PROGRAMMING,2022-09-19,2022,9,19
DIGITAL MARKETING ANALYTICS,https://www.classcentral.com/course/dmanalyticspractice-2754,FALSE,0,23,18,1,BEGINNER,20:13:00,PROGRAMMING,2023-01-29,2023,1,29
COMPUTING IN PYTHON3: DATA STRUCTURES,https://www.classcentral.com/course/python-the-georgia-institute-of-technology-comput-11471,FALSE,0,46,34,1,BEGINNER,10:00:00,PROGRAMMING,2021-08-14,2021,8,14
EXCEL FUNDAMENTALS FOR DATA ANALYSIS,https://www.classcentral.com/course/excel-data-analysis-fundamentals-20156,FALSE,0,8,5,1,BEGINNER,15:04:00,PROGRAMMING,2022-08-29,2022,8,29
PROCESS MINING:DATA SCIENCE,https://www.classcentral.com/course/procmin-2445,FALSE,0,17,11,1,BEGINNER,22:00:00,PROGRAMMING,2022-12-22,2022,12,22
PYTHON FOR DATA SCIENCE,https://www.classcentral.com/course/python-the-university-of-california-san-diego-pyt-8209,FALSE,0,46,35,1,BEGINNER,10:00:00,PROGRAMMING,2023-05-17,2023,5,17
GETTING AND CLEAN DATA,https://www.classcentral.com/course/getdata-1714,FALSE,0,58,41,1,BEGINNER,20:00:00,PROGRAMMING,2022-05-28,2022,5,28
INTRODUCTION TO DATA ANALYSIS FOR BEGINNERS,https://www.classcentral.com/course/data-analytics-business-7028,FALSE,0,3109,3034,1,BEGINNER,11:59:00,PROGRAMMING,2021-03-18,2021,3,18
MASTERING DATA ANALYSIS IN EXCEL,https://www.classcentral.com/course/analytics-excel-4310,FALSE,0,22,15,1,BEGINNER,21:23:00,PROGRAMMING,2023-09-13,2023,9,13
USING PYTHON TO ACCESS WEB DATA,https://www.classcentral.com/course/python-network-data-4343,FALSE,0,5624,5205,1,BEGINNER,18:45:00,PROGRAMMING,2023-05-18,2023,5,18
A CRASH COURSE IN DATA SCIENCE,https://www.classcentral.com/course/data-science-crash-course-4392,FALSE,0,25,19,1,BEGINNER,07:08:00,PROGRAMMING,2023-02-27,2023,2,27
INTRODUCTION TO DATASCIENCE IN PYTHON,https://www.classcentral.com/course/python-data-analysis-6671,FALSE,0,46,37,1,BEGINNER,10:52:00,PROGRAMMING,2022-04-18,2022,4,18
DATA ANALYTICS FOR LEAN SIX SIGMA,https://www.classcentral.com/course/data-analytics-for-lean-six-sigma-8092,FALSE,0,3215,3002,1,BEGINNER,11:20:00,PROGRAMMING,2022-06-16,2022,6,16
INTRODUCTION TO DATA ANALYTICS,https://www.classcentral.com/course/introduction-to-data-analytics-21539,FALSE,0,74,62,1,BEGINNER,14:03:00,PROGRAMMING,2021-10-13,2021,10,13
DATA SCIENCE: R BASICS,https://www.classcentral.com/course/r-programming-harvard-university-data-science-r-b-9253,FALSE,0,12,8,1,BEGINNER,19:00:00,PROGRAMMING,2023-05-18,2023,5,18
INTRODUCTION TO BIG DATA,https://www.classcentral.com/course/intro-to-big-data-4164,FALSE,0,34,22,1,BEGINNER,17:28:00,PROGRAMMING,2021-07-23,2021,7,23
DATA VISUALIZATION IN ANALYTICS,https://www.classcentral.com/course/excel-data-visualization-23167,FALSE,0,1101,1002,1,BEGINNER,17:39:00,PROGRAMMING,2023-08-13,2023,8,13
INTRODUCTION TO DATA ANALYTICS,https://www.classcentral.com/course/introduction-to-data-analytics-97456,FALSE,0,14719,14019,1,BEGINNER,10:26:00,PROGRAMMING,2023-05-20,2023,5,20
JS ALGORITHMS AND DATA STRUCTURES,https://www.classcentral.com/course/freecodecamp-javascript-algorithms-and-data-struc-34060,FALSE,0,47,32,1,BEGINNER,300:00:00,PROGRAMMING,2021-12-19,2021,12,19
UNDERSTANDING AND VISUALIZING DATA WITH PYTHON,https://www.classcentral.com/course/understanding-visualization-data-12647,FALSE,0,2595,2409,1,BEGINNER,19:37:00,PROGRAMMING,2023-09-17,2023,9,17
WHAT IS DATA SCIENCE?,https://www.classcentral.com/course/what-is-datascience-10616,FALSE,0,68433,65891,1,BEGINNER,11:27:00,PROGRAMMING,2023-11-16,2023,11,16
MANAGING BIG DATA,https://www.classcentral.com/course/analytics-mysql-4181,FALSE,0,6,5,1,BEGINNER,08:14:00,PROGRAMMING,2023-02-19,2023,2,19
BIG DATA INTEGRATION AND PROCESSING,https://www.classcentral.com/course/big-data-integration-processing-6467,FALSE,0,2398,2203,1,BEGINNER,17:32:00,PROGRAMMING,2023-01-22,2023,1,22
SQL FOR DATA SCIENCE ,https://www.classcentral.com/course/sql-for-data-science-9725,FALSE,0,5,5,1,BEGINNER,15:20:00,PROGRAMMING,2023-06-19,2023,6,19
DATA SCIENCE VISUALIZATION,https://www.classcentral.com/course/data-visualization-harvard-university-data-scienc-10347,FALSE,0,5,4,1,BEGINNER,16:08:00,PROGRAMMING,2022-05-22,2022,5,22
PYTHON FOR GENOMIC DATASCIENCE,https://www.classcentral.com/course/genpython-3476,FALSE,0,15,11,1,BEGINNER,09:00:00,PROGRAMMING,2021-08-15,2021,8,15
